 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon ID (syst.) | 0.0035013 / -0.0035013 | 0.00354087 / -0.00354087 | 0.00361365 / -0.00361365 | 0.00396559 / -0.00396559 | 0.00369892 / -0.00369892 | 0.00450271 / -0.00450271 | 0.00483602 / -0.00483602 | 0.0045132 / -0.0045132 | 0.00277048 / -0.00277048 | 0.00305972 / -0.00305972 | 0.00283509 / -0.00283509 | 0.00419006 / -0.00419006 | 0.00419748 / -0.00419748 | 0 / 0 | 0 / 0 | 0.00417095 / -0.00417095 | 0.00364468 / -0.00364468 |
 | Muon Trig. (stat.) | 0.00271022 / -0.00271022 | 0.00271365 / -0.00271365 | 0.00261793 / -0.00261793 | 0.00261658 / -0.00261658 | 0.00268537 / -0.00268537 | 0.00264883 / -0.00264883 | 0.00291938 / -0.00291938 | 0.00256684 / -0.00256684 | 0.00166821 / -0.00166821 | 0.00185502 / -0.00185502 | 0.00166428 / -0.00166428 | 0.00283283 / -0.00283283 | 0.00246403 / -0.00246403 | 0 / 0 | 0 / 0 | 0.00263447 / -0.00263447 | 0.00282827 / -0.00282827 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000402033 / -0.000402033 | 0.000387311 / -0.000387311 | 0.000356466 / -0.000356466 | 0.000348985 / -0.000348985 | 0.000391752 / -0.000391752 | 0.000231296 / -0.000231296 | 0.000286579 / -0.000286579 | 0.000172734 / -0.000172734 | 0.000170231 / -0.000170231 | 0.000143021 / -0.000143021 | 0.000283241 / -0.000283241 | 0.000382364 / -0.000382364 | 0.000314772 / -0.000314772 | 0 / 0 | 0 / 0 | 0.000344604 / -0.000344604 | 0.00032568 / -0.00032568 |
 | Pile-up uncertainty | 0.00799054 / -0.00799054 | -0.00327003 / 0.00327003 | -0.0016689 / 0.0016689 | 0.000283808 / -0.000283808 | -0.00423428 / 0.00423428 | 0.00627601 / -0.00627601 | -0.0189744 / 0.0189744 | 0.0224273 / -0.0224273 | 0.000944346 / -0.000944346 | -0.0108879 / 0.0108879 | 0.039844 / -0.039844 | 0.00682381 / -0.00682381 | 0.0179454 / -0.0179454 | 0 / 0 | 0 / 0 | -0.000798821 / 0.000798821 | 0.00937647 / -0.00937647 |
 | btag B EV 0 | -0.0458968 / 0.0458968 | -0.0409783 / 0.0409783 | -0.0147775 / 0.0147775 | -0.0337478 / 0.0337478 | -0.0107747 / 0.0107747 | 0 / 0 | 0 / 0 | -0.0476709 / 0.0476709 | 0 / 0 | 0 / 0 | -0.0487799 / 0.0487799 | -0.0426944 / 0.0426944 | -0.0448071 / 0.0448071 | 0 / 0 | 0 / 0 | -0.00269911 / 0.00269911 | -0.0217921 / 0.0217921 |
 | btag B EV 1 | -0.0141039 / 0.0141039 | -0.0127278 / 0.0127278 | -0.00386336 / 0.00386336 | -0.0141918 / 0.0141918 | -0.00299126 / 0.00299126 | 0 / 0 | 0 / 0 | -0.0136259 / 0.0136259 | 0 / 0 | 0 / 0 | -0.0122126 / 0.0122126 | -0.0182278 / 0.0182278 | -0.0176454 / 0.0176454 | 0 / 0 | 0 / 0 | 0.000367194 / -0.000367194 | -0.00570145 / 0.00570145 |
 | btag B EV 2 | 0.0109873 / -0.0109873 | 0.00956351 / -0.00956351 | 0.00267544 / -0.00267544 | 0.00715917 / -0.00715917 | 0.00172716 / -0.00172716 | 0 / 0 | 0 / 0 | 0.00800493 / -0.00800493 | 0 / 0 | 0 / 0 | 0.00940585 / -0.00940585 | 0.00792205 / -0.00792205 | 0.00754437 / -0.00754437 | 0 / 0 | 0 / 0 | 0.000870943 / -0.000870943 | 0.00404796 / -0.00404796 |
