 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0940584 / -0.0940584 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.148778 / -0.148778 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.0844248 / -0.0844248 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0 / 0 | 0 / 0 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.00335151 / -0.00335151 | 0.00357076 / -0.00357076 | 0.0036587 / -0.0036587 | 0.0040036 / -0.0040036 | 0.00367978 / -0.00367978 | 0.00420045 / -0.00420045 | 0.0042075 / -0.0042075 | 0.00408675 / -0.00408675 | 0.00605949 / -0.00605949 | 0.00614336 / -0.00614336 | 0.0056265 / -0.0056265 | 0.00413839 / -0.00413839 | 0.00494729 / -0.00494729 | 0 / 0 | 0 / 0 | 0.00417472 / -0.00417472 | 0.003693 / -0.003693 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000911823 / -0.000911823 | 0.000908212 / -0.000908212 | 0.000894145 / -0.000894145 | 0.000878308 / -0.000878308 | 0.000894673 / -0.000894673 | 0.000938059 / -0.000938059 | 0.00101935 / -0.00101935 | 0.000985709 / -0.000985709 | 0.00066512 / -0.00066512 | 0.000601918 / -0.000601918 | 0.00068368 / -0.00068368 | 0.000846903 / -0.000846903 | 0.000771636 / -0.000771636 | 0 / 0 | 0 / 0 | 0.000889737 / -0.000889737 | 0.000865054 / -0.000865054 |
 | Muon ID (syst.) | 0.00364692 / -0.00364692 | 0.0037253 / -0.0037253 | 0.00362026 / -0.00362026 | 0.00386535 / -0.00386535 | 0.00374457 / -0.00374457 | 0.00452013 / -0.00452013 | 0.00488809 / -0.00488809 | 0.00463025 / -0.00463025 | 0.00298588 / -0.00298588 | 0.00291025 / -0.00291025 | 0.00308509 / -0.00308509 | 0.00377433 / -0.00377433 | 0.00396847 / -0.00396847 | 0 / 0 | 0 / 0 | 0.00407869 / -0.00407869 | 0.0035926 / -0.0035926 |
 | Muon Trig. (stat.) | 0.00267108 / -0.00267108 | 0.00274168 / -0.00274168 | 0.00271412 / -0.00271412 | 0.00268248 / -0.00268248 | 0.0027493 / -0.0027493 | 0.00273161 / -0.00273161 | 0.00285519 / -0.00285519 | 0.00278025 / -0.00278025 | 0.00174473 / -0.00174473 | 0.00172004 / -0.00172004 | 0.0019874 / -0.0019874 | 0.00259197 / -0.00259197 | 0.00253633 / -0.00253633 | 0 / 0 | 0 / 0 | 0.00275724 / -0.00275724 | 0.00266815 / -0.00266815 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000392208 / -0.000392208 | 0.000363736 / -0.000363736 | 0.000383926 / -0.000383926 | 0.000371211 / -0.000371211 | 0.00041635 / -0.00041635 | 0.000225363 / -0.000225363 | 0.000281126 / -0.000281126 | 0.000274748 / -0.000274748 | 0.000165937 / -0.000165937 | 0.000173943 / -0.000173943 | 0.000289234 / -0.000289234 | 0.000398187 / -0.000398187 | 0.000257292 / -0.000257292 | 0 / 0 | 0 / 0 | 0.000413327 / -0.000413327 | 0.000403438 / -0.000403438 |
 | Pile-up uncertainty | 0.00508571 / -0.00508571 | 0.00675734 / -0.00675734 | -0.00553078 / 0.00553078 | -0.000630527 / 0.000630527 | -0.00518983 / 0.00518983 | 0.0182119 / -0.0182119 | -0.00812996 / 0.00812996 | 0.0319473 / -0.0319473 | 0.0123048 / -0.0123048 | -0.00651779 / 0.00651779 | 0.0215012 / -0.0215012 | 0.0195026 / -0.0195026 | 0.0083006 / -0.0083006 | 0 / 0 | 0 / 0 | -0.00612178 / 0.00612178 | -0.000360148 / 0.000360148 |
 | btag B EV 0 | -0.0450774 / 0.0450774 | -0.0432373 / 0.0432373 | -0.0570451 / 0.0570451 | -0.0447535 / 0.0447535 | -0.0422336 / 0.0422336 | 0 / 0 | 0 / 0 | -0.0725996 / 0.0725996 | 0 / 0 | 0 / 0 | -0.0658707 / 0.0658707 | -0.0543618 / 0.0543618 | -0.0610988 / 0.0610988 | 0 / 0 | 0 / 0 | -0.0395646 / 0.0395646 | -0.0673131 / 0.0673131 |
 | btag B EV 1 | -0.0176147 / 0.0176147 | -0.0179806 / 0.0179806 | -0.0211447 / 0.0211447 | -0.0203322 / 0.0203322 | -0.0188241 / 0.0188241 | 0 / 0 | 0 / 0 | -0.0152695 / 0.0152695 | 0 / 0 | 0 / 0 | -0.0160465 / 0.0160465 | -0.0222556 / 0.0222556 | -0.0171804 / 0.0171804 | 0 / 0 | 0 / 0 | -0.0236286 / 0.0236286 | -0.0204664 / 0.0204664 |
 | btag B EV 2 | 0.011769 / -0.011769 | 0.0110216 / -0.0110216 | 0.0124538 / -0.0124538 | 0.0097807 / -0.0097807 | 0.00991614 / -0.00991614 | 0 / 0 | 0 / 0 | 0.0116456 / -0.0116456 | 0 / 0 | 0 / 0 | 0.0120026 / -0.0120026 | 0.00938155 / -0.00938155 | 0.011463 / -0.011463 | 0 / 0 | 0 / 0 | 0.00695049 / -0.00695049 | 0.0171266 / -0.0171266 |
 | btag B EV 3 | 0.00036088 / -0.00036088 | 0.000509495 / -0.000509495 | -0.000107106 / 0.000107106 | 0.000496683 / -0.000496683 | 0.000565152 / -0.000565152 | 0 / 0 | 0 / 0 | -0.00242271 / 0.00242271 | 0 / 0 | 0 / 0 | -0.00190235 / 0.00190235 | -0.00107756 / 0.00107756 | -0.0018852 / 0.0018852 | 0 / 0 | 0 / 0 | 0.000994302 / -0.000994302 | -0.000844137 / 0.000844137 |
