 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0462492 / -0.0462492 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.0518704 / -0.0518704 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.00365122 / 0.00365122 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502714 / -0.0502714 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.00341335 / -0.00341335 | 0.00372849 / -0.00372849 | 0.003538 / -0.003538 | 0.0038577 / -0.0038577 | 0.00376238 / -0.00376238 | 0.00417076 / -0.00417076 | 0.00433763 / -0.00433763 | 0.00419614 / -0.00419614 | 0.00543795 / -0.00543795 | 0.00545858 / -0.00545858 | 0.00501625 / -0.00501625 | 0.00383826 / -0.00383826 | 0.00453988 / -0.00453988 | 0 / 0 | 0 / 0 | 0.00432322 / -0.00432322 | 0.00349138 / -0.00349138 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000873873 / -0.000873873 | 0.000850073 / -0.000850073 | 0.000882939 / -0.000882939 | 0.000882785 / -0.000882785 | 0.00088207 / -0.00088207 | 0.000922213 / -0.000922213 | 0.000876415 / -0.000876415 | 0.000971726 / -0.000971726 | 0.000617306 / -0.000617306 | 0.000700726 / -0.000700726 | 0.000729988 / -0.000729988 | 0.000930014 / -0.000930014 | 0.000942435 / -0.000942435 | 0 / 0 | 0 / 0 | 0.00103824 / -0.00103824 | 0.000924262 / -0.000924262 |
