 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0361844 / -0.0361844 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | -0.0554333 / 0.0554333 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0287633 / 0.0287634 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00847109 / -0.00847109 | 0.00519408 / -0.00519408 | 0.0033386 / -0.0033386 | 0.0037053 / -0.0037053 | 0.00362168 / -0.00362168 | 0.00391423 / -0.00391423 | 0.00338952 / -0.00338952 | 0.00620353 / -0.00620353 | 0.00524437 / -0.00524437 | 0.00330678 / -0.00330678 | 0.00827481 / -0.00827481 | 0.00227897 / -0.00227897 | 0.00707894 / -0.00707894 | 0 / 0 | 0 / 0 | 0.003552 / -0.003552 | 0.00241581 / -0.00241581 |
 | Electron isol. | 0.00106681 / -0.00106681 | 0.000311884 / -0.000311884 | 0.000985694 / -0.000985694 | 0.00103273 / -0.00103273 | 0.000797565 / -0.000797565 | 0.000855432 / -0.000855432 | 0.000818508 / -0.000818508 | 0.00154026 / -0.00154026 | 0.00102909 / -0.00102909 | 0.000771443 / -0.000771443 | 0.000906755 / -0.000906755 | 0.000376163 / -0.000376163 | 0.000986062 / -0.000986062 | 0 / 0 | 0 / 0 | 0.000250134 / -0.000250134 | 0.000299929 / -0.000299929 |
 | Electron reco. | 0.00158831 / -0.00158831 | 0.00100357 / -0.00100357 | 0.000615599 / -0.000615599 | 0.000690394 / -0.000690394 | 0.000721025 / -0.000721025 | 0.000675771 / -0.000675771 | 0.000611196 / -0.000611196 | 0.000828838 / -0.000828838 | 0.000918445 / -0.000918445 | 0.000557368 / -0.000557368 | 0.000990479 / -0.000990479 | 0.000440259 / -0.000440259 | 0.00140361 / -0.00140361 | 0 / 0 | 0 / 0 | 0.000532184 / -0.000532184 | 0.000331329 / -0.000331329 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000645065 / -0.000645065 | 0.000894001 / -0.000894001 | 0.000910132 / -0.000910132 | 0.000887103 / -0.000887103 | 0.000853449 / -0.000853449 | 0.000938163 / -0.000938163 | 0.00111901 / -0.00111901 | 0.000678193 / -0.000678193 | 0.000624434 / -0.000624434 | 0.000947305 / -0.000947305 | 0.00229743 / -0.00229743 | 0.0009803 / -0.0009803 | 0.00091169 / -0.00091169 | 0 / 0 | 0 / 0 | 0.000362721 / -0.000362721 | 0.000800373 / -0.000800373 |
 | Muon ID (syst.) | 0.00267952 / -0.00267952 | 0.00391302 / -0.00391302 | 0.00334787 / -0.00334787 | 0.00356269 / -0.00356269 | 0.00332349 / -0.00332349 | 0.00404032 / -0.00404032 | 0.00464232 / -0.00464232 | 0.0032443 / -0.0032443 | 0.0027411 / -0.0027411 | 0.00391804 / -0.00391804 | 0.00594611 / -0.00594611 | 0.00456662 / -0.00456662 | 0.00329118 / -0.00329118 | 0 / 0 | 0 / 0 | 0.00159032 / -0.00159032 | 0.00296619 / -0.00296619 |
 | Muon Trig. (stat.) | 0.00121429 / -0.00121429 | 0.00270082 / -0.00270082 | 0.00249556 / -0.00249556 | 0.00279934 / -0.00279934 | 0.00246131 / -0.00246131 | 0.00268759 / -0.00268759 | 0.00312406 / -0.00312406 | 0.00188113 / -0.00188113 | 0.00175167 / -0.00175167 | 0.00236424 / -0.00236424 | 0.00316604 / -0.00316604 | 0.00269602 / -0.00269602 | 0.00235432 / -0.00235432 | 0 / 0 | 0 / 0 | 0.00129553 / -0.00129553 | 0.00200609 / -0.00200609 |
 | Muon Trig. (syst.) | 0.0021209 / -0.0021209 | 0.00340589 / -0.00340589 | 0.00473643 / -0.00473643 | 0.00444194 / -0.00444194 | 0.00464207 / -0.00464207 | 0.00479286 / -0.00479286 | 0.00483042 / -0.00483042 | 0.00373148 / -0.00373148 | 0.00329499 / -0.00329499 | 0.00473909 / -0.00473909 | 0.00498769 / -0.00498769 | 0.0061846 / -0.0061846 | 0.0043052 / -0.0043052 | 0 / 0 | 0 / 0 | 0.00180581 / -0.00180581 | 0.00437743 / -0.00437743 |
 | Muon Isol. (stat.) | 8.65922e-05 / -8.65922e-05 | 0.000121232 / -0.000121232 | 0.000154319 / -0.000154319 | 0.000155334 / -0.000155334 | 0.000143601 / -0.000143601 | 0.000180818 / -0.000180818 | 0.00018116 / -0.00018116 | 0.000134246 / -0.000134246 | 0.00012755 / -0.00012755 | 0.000178856 / -0.000178856 | 0.000131567 / -0.000131567 | 0.000164336 / -0.000164336 | 0.000170761 / -0.000170761 | 0 / 0 | 0 / 0 | 7.02611e-05 / -7.02611e-05 | 0.000132875 / -0.000132875 |
 | Muon Isol. (syst.) | 6.84357e-05 / -6.84357e-05 | 0.000494635 / -0.000494635 | 0.000377487 / -0.000377487 | 0.000379137 / -0.000379137 | 0.000357754 / -0.000357754 | 0.000381828 / -0.000381828 | 0.000403067 / -0.000403067 | 0.000367822 / -0.000367822 | 0.000262816 / -0.000262816 | 0.000362675 / -0.000362675 | 0.000459211 / -0.000459211 | 0.000493957 / -0.000493957 | 0.000365658 / -0.000365658 | 0 / 0 | 0 / 0 | 4.01951e-05 / -4.01951e-05 | 0.000277755 / -0.000277755 |
 | Muon TTVA (stat.) | 0.000190782 / -0.000190782 | 0.000431611 / -0.000431611 | 0.000391952 / -0.000391952 | 0.000371072 / -0.000371072 | 0.000357046 / -0.000357046 | 0.000372433 / -0.000372433 | 0.000451111 / -0.000451111 | 0.000265406 / -0.000265406 | 0.000254393 / -0.000254393 | 0.000368427 / -0.000368427 | 0.000469505 / -0.000469505 | 0.000481083 / -0.000481083 | 0.000331754 / -0.000331754 | 0 / 0 | 0 / 0 | 0.000220269 / -0.000220269 | 0.000307356 / -0.000307356 |
 | Muon TTVA (syst.) | 0.000151955 / -0.000151955 | 8.52988e-05 / -8.52988e-05 | 0.000398905 / -0.000398905 | 0.000336544 / -0.000336544 | 0.000398735 / -0.000398735 | 0.000231088 / -0.000231088 | 0.000180707 / -0.000180707 | 0.000137081 / -0.000137081 | 0.000178689 / -0.000178689 | 0.000355624 / -0.000355624 | 0.000628326 / -0.000628326 | 0.000525485 / -0.000525485 | 7.33384e-05 / -7.33384e-05 | 0 / 0 | 0 / 0 | 4.90381e-06 / -4.90381e-06 | 6.7038e-05 / -6.7038e-05 |
 | Pile-up uncertainty | -0.0925751 / 0.0925751 | -0.025656 / 0.025656 | -0.0621602 / 0.0621602 | 0.00728484 / -0.00728484 | -0.016636 / 0.016636 | 0.00641321 / -0.00641321 | 0.0792563 / -0.0792563 | 0.0277898 / -0.0277898 | 0.0170047 / -0.0170047 | 0.0120681 / -0.0120681 | -0.122615 / 0.122615 | 0.043456 / -0.043456 | -0.0585564 / 0.0585564 | 0 / 0 | 0 / 0 | -0.156821 / 0.156821 | 0.229555 / -0.229555 |
 | btag B EV 0 | -0.0781786 / 0.0781786 | -0.0818368 / 0.0818368 | -0.155717 / 0.155717 | -0.143356 / 0.143356 | -0.145119 / 0.145119 | 0 / 0 | 0 / 0 | -0.199658 / 0.199658 | 0 / 0 | 0 / 0 | -0.218998 / 0.218998 | -0.153737 / 0.153737 | -0.1794 / 0.1794 | 0 / 0 | 0 / 0 | -0.127566 / 0.127566 | -0.170889 / 0.170889 |
