 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0738057 / -0.0738057 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.134588 / -0.134588 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.0261887 / -0.0261887 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213737 / -0.0213737 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213737 / -0.0213737 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.003328 / -0.003328 | 0.00343522 / -0.00343522 | 0.00365794 / -0.00365794 | 0.00404754 / -0.00404754 | 0.0038752 / -0.0038752 | 0.00430286 / -0.00430286 | 0.00409317 / -0.00409317 | 0.00419003 / -0.00419003 | 0.00555056 / -0.00555056 | 0.00605071 / -0.00605071 | 0.00597617 / -0.00597617 | 0.00380954 / -0.00380954 | 0.00444126 / -0.00444126 | 0 / 0 | 0 / 0 | 0.00446638 / -0.00446638 | 0.00358325 / -0.00358325 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000888139 / -0.000888139 | 0.00090152 / -0.00090152 | 0.000884593 / -0.000884593 | 0.000881255 / -0.000881255 | 0.000848532 / -0.000848532 | 0.0009 / -0.0009 | 0.000974059 / -0.000974059 | 0.000967771 / -0.000967771 | 0.000617117 / -0.000617117 | 0.000626117 / -0.000626117 | 0.000620097 / -0.000620097 | 0.000901282 / -0.000901282 | 0.000878572 / -0.000878572 | 0 / 0 | 0 / 0 | 0.000807792 / -0.000807792 | 0.000905663 / -0.000905663 |
 | Muon ID (syst.) | 0.00338894 / -0.00338894 | 0.00342974 / -0.00342974 | 0.00354546 / -0.00354546 | 0.0038178 / -0.0038178 | 0.00353268 / -0.00353268 | 0.00403154 / -0.00403154 | 0.00427458 / -0.00427458 | 0.00467819 / -0.00467819 | 0.00280362 / -0.00280362 | 0.00297168 / -0.00297168 | 0.00276229 / -0.00276229 | 0.00382271 / -0.00382271 | 0.00425389 / -0.00425389 | 0 / 0 | 0 / 0 | 0.00370875 / -0.00370875 | 0.0035741 / -0.0035741 |
 | Muon Trig. (stat.) | 0.00269383 / -0.00269383 | 0.00266191 / -0.00266191 | 0.00264969 / -0.00264969 | 0.00266036 / -0.00266036 | 0.00261936 / -0.00261936 | 0.00254866 / -0.00254866 | 0.00257599 / -0.00257599 | 0.00264177 / -0.00264177 | 0.00169063 / -0.00169063 | 0.00176787 / -0.00176787 | 0.00182506 / -0.00182506 | 0.00270846 / -0.00270846 | 0.00246054 / -0.00246054 | 0 / 0 | 0 / 0 | 0.00266758 / -0.00266758 | 0.00270903 / -0.00270903 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
