 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0491833 / -0.0491833 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.0664396 / -0.0664396 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0128934 / 0.0128934 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00332142 / -0.00332142 | 0.00346092 / -0.00346092 | 0.00357434 / -0.00357434 | 0.00393579 / -0.00393579 | 0.0039132 / -0.0039132 | 0.00378776 / -0.00378776 | 0.00383667 / -0.00383667 | 0.00412088 / -0.00412088 | 0.00532612 / -0.00532612 | 0.00499781 / -0.00499781 | 0.00520172 / -0.00520172 | 0.00352579 / -0.00352579 | 0.00439146 / -0.00439146 | 0 / 0 | 0 / 0 | 0.00510471 / -0.00510471 | 0.00354397 / -0.00354397 |
 | Electron isol. | 0.000488757 / -0.000488757 | 0.000533863 / -0.000533863 | 0.000652102 / -0.000652102 | 0.00105667 / -0.00105667 | 0.00100459 / -0.00100459 | 0.000761979 / -0.000761979 | 0.000830868 / -0.000830868 | 0.000931566 / -0.000931566 | 0.00101987 / -0.00101987 | 0.00102318 / -0.00102318 | 0.00108317 / -0.00108317 | 0.000825963 / -0.000825963 | 0.00126711 / -0.00126711 | 0 / 0 | 0 / 0 | 0.00200525 / -0.00200525 | 0.0007198 / -0.0007198 |
 | Electron reco. | 0.000643599 / -0.000643599 | 0.000673575 / -0.000673575 | 0.000678707 / -0.000678707 | 0.000727789 / -0.000727789 | 0.000731067 / -0.000731067 | 0.000658691 / -0.000658691 | 0.000689224 / -0.000689224 | 0.000718113 / -0.000718113 | 0.000933388 / -0.000933388 | 0.000923515 / -0.000923515 | 0.000953375 / -0.000953375 | 0.000664424 / -0.000664424 | 0.000794835 / -0.000794835 | 0 / 0 | 0 / 0 | 0.000944344 / -0.000944344 | 0.00076944 / -0.00076944 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000888784 / -0.000888784 | 0.000864788 / -0.000864788 | 0.000886722 / -0.000886722 | 0.000878223 / -0.000878223 | 0.00086826 / -0.00086826 | 0.000933364 / -0.000933364 | 0.000883067 / -0.000883067 | 0.00090591 / -0.00090591 | 0.000614289 / -0.000614289 | 0.000654958 / -0.000654958 | 0.000586964 / -0.000586964 | 0.000896244 / -0.000896244 | 0.000871749 / -0.000871749 | 0 / 0 | 0 / 0 | 0.000872687 / -0.000872687 | 0.00087155 / -0.00087155 |
 | Muon ID (syst.) | 0.00337244 / -0.00337244 | 0.00326116 / -0.00326116 | 0.00345925 / -0.00345925 | 0.00379128 / -0.00379128 | 0.00353271 / -0.00353271 | 0.00399562 / -0.00399562 | 0.0038784 / -0.0038784 | 0.00410339 / -0.00410339 | 0.00260598 / -0.00260598 | 0.00296434 / -0.00296434 | 0.00256458 / -0.00256458 | 0.00355864 / -0.00355864 | 0.00386203 / -0.00386203 | 0 / 0 | 0 / 0 | 0.00375874 / -0.00375874 | 0.00338937 / -0.00338937 |
 | Muon Trig. (stat.) | 0.00269995 / -0.00269995 | 0.0026428 / -0.0026428 | 0.00268036 / -0.00268036 | 0.00267535 / -0.00267535 | 0.0025989 / -0.0025989 | 0.00265993 / -0.00265993 | 0.00265153 / -0.00265153 | 0.00258723 / -0.00258723 | 0.00171363 / -0.00171363 | 0.00192899 / -0.00192899 | 0.00178415 / -0.00178415 | 0.00272581 / -0.00272581 | 0.00243744 / -0.00243744 | 0 / 0 | 0 / 0 | 0.00244267 / -0.00244267 | 0.0026994 / -0.0026994 |
 | Muon Trig. (syst.) | 0.00470236 / -0.00470236 | 0.00458374 / -0.00458374 | 0.00464793 / -0.00464793 | 0.00466055 / -0.00466055 | 0.00447636 / -0.00447636 | 0.00481016 / -0.00481016 | 0.00459502 / -0.00459502 | 0.00459789 / -0.00459789 | 0.00312799 / -0.00312799 | 0.00348768 / -0.00348768 | 0.00311959 / -0.00311959 | 0.00476176 / -0.00476176 | 0.00444263 / -0.00444263 | 0 / 0 | 0 / 0 | 0.00367201 / -0.00367201 | 0.00471576 / -0.00471576 |
 | Muon Isol. (stat.) | 0.000151886 / -0.000151886 | 0.000146312 / -0.000146312 | 0.000151738 / -0.000151738 | 0.000153417 / -0.000153417 | 0.000143999 / -0.000143999 | 0.000183744 / -0.000183744 | 0.000162664 / -0.000162664 | 0.000169658 / -0.000169658 | 0.000121437 / -0.000121437 | 0.00012445 / -0.00012445 | 0.000108044 / -0.000108044 | 0.000156287 / -0.000156287 | 0.000155141 / -0.000155141 | 0 / 0 | 0 / 0 | 0.000132488 / -0.000132488 | 0.000151729 / -0.000151729 |
 | Muon Isol. (syst.) | 0.000310266 / -0.000310266 | 0.000304114 / -0.000304114 | 0.000330249 / -0.000330249 | 0.000405696 / -0.000405696 | 0.000368333 / -0.000368333 | 0.000360391 / -0.000360391 | 0.000382849 / -0.000382849 | 0.000398096 / -0.000398096 | 0.00024009 / -0.00024009 | 0.000302429 / -0.000302429 | 0.000287944 / -0.000287944 | 0.000342169 / -0.000342169 | 0.000405012 / -0.000405012 | 0 / 0 | 0 / 0 | 0.000410448 / -0.000410448 | 0.000312016 / -0.000312016 |
 | Muon TTVA (stat.) | 0.000373779 / -0.000373779 | 0.000363392 / -0.000363392 | 0.000368116 / -0.000368116 | 0.000368088 / -0.000368088 | 0.000359053 / -0.000359053 | 0.000372204 / -0.000372204 | 0.000368952 / -0.000368952 | 0.000363487 / -0.000363487 | 0.000245474 / -0.000245474 | 0.000276671 / -0.000276671 | 0.000246361 / -0.000246361 | 0.000376777 / -0.000376777 | 0.000347341 / -0.000347341 | 0 / 0 | 0 / 0 | 0.00030739 / -0.00030739 | 0.000369395 / -0.000369395 |
