 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.134781 / -0.134781 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.197972 / -0.197972 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | 0.089696 / -0.089696 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.050123 / -0.050123 | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00342762 / -0.00342762 | 0.00352263 / -0.00352263 | 0.00393066 / -0.00393066 | 0.00443178 / -0.00443178 | 0.00392607 / -0.00392607 | 0.00463367 / -0.00463367 | 0.00432572 / -0.00432572 | 0.00481069 / -0.00481069 | 0.00637695 / -0.00637695 | 0.00641099 / -0.00641099 | 0.00632361 / -0.00632361 | 0.00400239 / -0.00400239 | 0.00558773 / -0.00558773 | 0.00465918 / -0.00465918 | 0 / 0 | 0 / 0 | 0.00347334 / -0.00347334 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000894904 / -0.000894904 | 0.000895649 / -0.000895649 | 0.00088957 / -0.00088957 | 0.000879377 / -0.000879377 | 0.000880599 / -0.000880599 | 0.000855535 / -0.000855535 | 0.000973731 / -0.000973731 | 0.000892282 / -0.000892282 | 0.00058493 / -0.00058493 | 0.000593513 / -0.000593513 | 0.000597298 / -0.000597298 | 0.000933766 / -0.000933766 | 0.000853807 / -0.000853807 | 0.000842988 / -0.000842988 | 0 / 0 | 0 / 0 | 0.000948101 / -0.000948101 |
