 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.073752 / -0.073752 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.128372 / -0.128372 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | 0.025946 / -0.025946 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213533 / -0.0213533 |
 | t#bar{t} inclusive cross section | 0.050123 / -0.050123 | 0.050123 / -0.050123 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.050123 / -0.050123 |
 | Electron ID | 0.00332797 / -0.00332797 | 0.00343519 / -0.00343519 | 0.00365794 / -0.00365794 | 0.00404754 / -0.00404754 | 0.0038752 / -0.0038752 | 0.00430292 / -0.00430292 | 0.00409317 / -0.00409317 | 0.00419003 / -0.00419003 | 0.00555053 / -0.00555053 | 0.00605068 / -0.00605068 | 0.00597617 / -0.00597617 | 0.0038096 / -0.0038096 | 0.00444126 / -0.00444126 | 0.00446644 / -0.00446644 | 0 / 0 | 0 / 0 | 0.00342026 / -0.00342026 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000888139 / -0.000888139 | 0.00090149 / -0.00090149 | 0.000884593 / -0.000884593 | 0.000881255 / -0.000881255 | 0.000848532 / -0.000848532 | 0.0009 / -0.0009 | 0.000974059 / -0.000974059 | 0.000967771 / -0.000967771 | 0.000617117 / -0.000617117 | 0.000626117 / -0.000626117 | 0.000620097 / -0.000620097 | 0.000901282 / -0.000901282 | 0.000878572 / -0.000878572 | 0.000807792 / -0.000807792 | 0 / 0 | 0 / 0 | 0.000958234 / -0.000958234 |
 | Muon ID (syst.) | 0.00338894 / -0.00338894 | 0.00342974 / -0.00342974 | 0.00354546 / -0.00354546 | 0.0038178 / -0.0038178 | 0.00353268 / -0.00353268 | 0.00403154 / -0.00403154 | 0.00427461 / -0.00427461 | 0.00467822 / -0.00467822 | 0.00280362 / -0.00280362 | 0.00297168 / -0.00297168 | 0.00276229 / -0.00276229 | 0.00382271 / -0.00382271 | 0.00425389 / -0.00425389 | 0.00370875 / -0.00370875 | 0 / 0 | 0 / 0 | 0.00365257 / -0.00365257 |
 | Muon Trig. (stat.) | 0.00269383 / -0.00269383 | 0.00266194 / -0.00266194 | 0.00264972 / -0.00264972 | 0.00266036 / -0.00266036 | 0.00261936 / -0.00261936 | 0.00254864 / -0.00254864 | 0.00257602 / -0.00257602 | 0.0026418 / -0.0026418 | 0.00169057 / -0.00169057 | 0.00176787 / -0.00176787 | 0.00182509 / -0.00182509 | 0.00270846 / -0.00270846 | 0.00246045 / -0.00246045 | 0.00266752 / -0.00266752 | 0 / 0 | 0 / 0 | 0.00279266 / -0.00279266 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
