 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0463141 / -0.0463141 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.0496006 / -0.0496006 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | -0.00361908 / 0.00361908 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.050123 / -0.050123 | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.050123 / -0.050123 |
 | Electron ID | 0.00341316 / -0.00341316 | 0.00372858 / -0.00372858 | 0.00353807 / -0.00353807 | 0.00385771 / -0.00385771 | 0.00376237 / -0.00376237 | 0.00417115 / -0.00417115 | 0.00433761 / -0.00433761 | 0.00419546 / -0.00419546 | 0.00544429 / -0.00544429 | 0.00546762 / -0.00546762 | 0.00504121 / -0.00504121 | 0.00383854 / -0.00383854 | 0.00453921 / -0.00453921 | 0.00432357 / -0.00432357 | 0 / 0 | 0 / 0 | 0.00338875 / -0.00338875 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000873813 / -0.000873813 | 0.000850063 / -0.000850063 | 0.000882956 / -0.000882956 | 0.000882796 / -0.000882796 | 0.00088208 / -0.00088208 | 0.00092216 / -0.00092216 | 0.000876524 / -0.000876524 | 0.000971766 / -0.000971766 | 0.000617783 / -0.000617783 | 0.000699417 / -0.000699417 | 0.000721653 / -0.000721653 | 0.000929965 / -0.000929965 | 0.000942545 / -0.000942545 | 0.00103818 / -0.00103818 | 0 / 0 | 0 / 0 | 0.000919146 / -0.000919146 |
 | Muon ID (syst.) | 0.00340221 / -0.00340221 | 0.00328385 / -0.00328385 | 0.00345949 / -0.00345949 | 0.00361417 / -0.00361417 | 0.00357291 / -0.00357291 | 0.00413017 / -0.00413017 | 0.00398814 / -0.00398814 | 0.00444986 / -0.00444986 | 0.00292711 / -0.00292711 | 0.0034107 / -0.0034107 | 0.00332669 / -0.00332669 | 0.00382342 / -0.00382342 | 0.0042599 / -0.0042599 | 0.00403145 / -0.00403145 | 0 / 0 | 0 / 0 | 0.00349677 / -0.00349677 |
 | Muon Trig. (stat.) | 0.00263336 / -0.00263336 | 0.00263138 / -0.00263138 | 0.00272476 / -0.00272476 | 0.00268789 / -0.00268789 | 0.00267351 / -0.00267351 | 0.00256517 / -0.00256517 | 0.00260532 / -0.00260532 | 0.00267591 / -0.00267591 | 0.00177946 / -0.00177946 | 0.00184358 / -0.00184358 | 0.00199323 / -0.00199323 | 0.00282882 / -0.00282882 | 0.00289927 / -0.00289927 | 0.00278334 / -0.00278334 | 0 / 0 | 0 / 0 | 0.00276703 / -0.00276703 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000390988 / -0.000390988 | 0.000357863 / -0.000357863 | 0.000363314 / -0.000363314 | 0.0003765 / -0.0003765 | 0.000394545 / -0.000394545 | 0.000230233 / -0.000230233 | 0.000242332 / -0.000242332 | 0.000215515 / -0.000215515 | 0.000168376 / -0.000168376 | 0.00016005 / -0.00016005 | 0.000200504 / -0.000200504 | 0.00037382 / -0.00037382 | 0.000392321 / -0.000392321 | 0.000407748 / -0.000407748 | 0 / 0 | 0 / 0 | 0.000425083 / -0.000425083 |
 | Pile-up uncertainty | 0.0148465 / -0.0148465 | 0.0013746 / -0.0013746 | -0.00902928 / 0.00902928 | -0.00450598 / 0.00450598 | -0.00365777 / 0.00365777 | 0.0174923 / -0.0174923 | 0.0148529 / -0.0148529 | -0.0387132 / 0.0387132 | 0.00393122 / -0.00393122 | -0.0213981 / 0.0213981 | 0.0095545 / -0.0095545 | -0.0138676 / 0.0138676 | 0.0259815 / -0.0259815 | 0.00585816 / -0.00585816 | 0 / 0 | 0 / 0 | 0.0067348 / -0.0067348 |
