 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | -0.00994328 / 0.00994328 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | -0.04378 / 0.04378 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | -0.0224368 / 0.0224368 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.050123 / -0.050123 | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.050123 / -0.050123 |
 | Electron ID | 0.00335367 / -0.00335367 | 0.00352888 / -0.00352888 | 0.00343382 / -0.00343382 | 0.00379616 / -0.00379616 | 0.0037033 / -0.0037033 | 0.00386086 / -0.00386086 | 0.00371903 / -0.00371903 | 0.00429147 / -0.00429147 | 0.00522745 / -0.00522745 | 0.00430766 / -0.00430766 | 0.00515946 / -0.00515946 | 0.00359559 / -0.00359559 | 0.00448778 / -0.00448778 | 0.00381001 / -0.00381001 | 0 / 0 | 0 / 0 | 0.00346157 / -0.00346157 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000888608 / -0.000888608 | 0.000848472 / -0.000848472 | 0.000891112 / -0.000891112 | 0.000882415 / -0.000882415 | 0.000874812 / -0.000874812 | 0.000934299 / -0.000934299 | 0.000860036 / -0.000860036 | 0.00086218 / -0.00086218 | 0.000612367 / -0.000612367 | 0.000803744 / -0.000803744 | 0.000802494 / -0.000802494 | 0.000909294 / -0.000909294 | 0.000856063 / -0.000856063 | 0.00107313 / -0.00107313 | 0 / 0 | 0 / 0 | 0.00089434 / -0.00089434 |
