 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.128228 / -0.128228 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.167415 / -0.167415 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0897759 / -0.0897759 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213957 / -0.0213957 | 0.0213957 / -0.0213957 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213957 / -0.0213957 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0 / 0 | 0 / 0 | 0.0213956 / -0.0213956 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0.0491629 / -0.0491629 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00342757 / -0.00342757 | 0.00352257 / -0.00352257 | 0.00393063 / -0.00393063 | 0.00443178 / -0.00443178 | 0.00392607 / -0.00392607 | 0.00463367 / -0.00463367 | 0.00432569 / -0.00432569 | 0.0048106 / -0.0048106 | 0.00637689 / -0.00637689 | 0.00641093 / -0.00641093 | 0.00632361 / -0.00632361 | 0.00400239 / -0.00400239 | 0.00558767 / -0.00558767 | 0 / 0 | 0 / 0 | 0.00465918 / -0.00465918 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000894904 / -0.000894904 | 0.00089559 / -0.00089559 | 0.000889599 / -0.000889599 | 0.000879377 / -0.000879377 | 0.000880599 / -0.000880599 | 0.000855535 / -0.000855535 | 0.000973731 / -0.000973731 | 0.000892281 / -0.000892281 | 0.00058493 / -0.00058493 | 0.000593513 / -0.000593513 | 0.000597298 / -0.000597298 | 0.000933766 / -0.000933766 | 0.000853807 / -0.000853807 | 0 / 0 | 0 / 0 | 0.000842988 / -0.000842988 | -nan / -nan |
