 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0439765 / -0.0439765 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0421666 / -0.0421666 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.00362066 / 0.00362066 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213956 / -0.0213956 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.0491629 / -0.0491629 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00341326 / -0.00341326 | 0.00372851 / -0.00372851 | 0.003538 / -0.003538 | 0.00385767 / -0.00385767 | 0.00376237 / -0.00376237 | 0.0041709 / -0.0041709 | 0.00433762 / -0.00433762 | 0.00419589 / -0.00419589 | 0.00543812 / -0.00543812 | 0.00545854 / -0.00545854 | 0.00501612 / -0.00501612 | 0.00383826 / -0.00383826 | 0.00453968 / -0.00453968 | 0 / 0 | 0 / 0 | 0.00432338 / -0.00432338 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000873855 / -0.000873855 | 0.00085007 / -0.00085007 | 0.000882943 / -0.000882943 | 0.000882787 / -0.000882787 | 0.000882075 / -0.000882075 | 0.000922195 / -0.000922195 | 0.000876446 / -0.000876446 | 0.000971738 / -0.000971738 | 0.00061734 / -0.00061734 | 0.000700721 / -0.000700721 | 0.000730008 / -0.000730008 | 0.000930006 / -0.000930006 | 0.000942464 / -0.000942464 | 0 / 0 | 0 / 0 | 0.00103819 / -0.00103819 | -nan / -nan |
 | Muon ID (syst.) | 0.0034025 / -0.0034025 | 0.00328392 / -0.00328392 | 0.00345934 / -0.00345934 | 0.00361416 / -0.00361416 | 0.00357289 / -0.00357289 | 0.00413007 / -0.00413007 | 0.00398753 / -0.00398753 | 0.00444988 / -0.00444988 | 0.00291982 / -0.00291982 | 0.00341575 / -0.00341575 | 0.00332115 / -0.00332115 | 0.00382311 / -0.00382311 | 0.00425991 / -0.00425991 | 0 / 0 | 0 / 0 | 0.00403151 / -0.00403151 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00263365 / -0.00263365 | 0.00263149 / -0.00263149 | 0.00272469 / -0.00272469 | 0.0026879 / -0.0026879 | 0.0026735 / -0.0026735 | 0.00256526 / -0.00256526 | 0.00260488 / -0.00260488 | 0.00267594 / -0.00267594 | 0.00177514 / -0.00177514 | 0.0018456 / -0.0018456 | 0.0020238 / -0.0020238 | 0.00282893 / -0.00282893 | 0.00289925 / -0.00289925 | 0 / 0 | 0 / 0 | 0.00278336 / -0.00278336 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
