 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0383562 / -0.0383562 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0457889 / -0.0457889 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0107409 / 0.0107409 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213957 / -0.0213957 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213957 / -0.0213957 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213957 / -0.0213957 | 0.0213957 / -0.0213957 | 0 / 0 | 0 / 0 | 0.0213956 / -0.0213956 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.0491629 / -0.0491629 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00329918 / -0.00329918 | 0.00343791 / -0.00343791 | 0.00355053 / -0.00355053 | 0.00390965 / -0.00390965 | 0.00388724 / -0.00388724 | 0.00376242 / -0.00376242 | 0.00381115 / -0.00381115 | 0.00409335 / -0.00409335 | 0.0052906 / -0.0052906 | 0.0049645 / -0.0049645 | 0.00516716 / -0.00516716 | 0.00350231 / -0.00350231 | 0.00436223 / -0.00436223 | 0 / 0 | 0 / 0 | 0.00507063 / -0.00507063 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000882924 / -0.000882924 | 0.000858992 / -0.000858992 | 0.000880778 / -0.000880778 | 0.000872344 / -0.000872344 | 0.000862449 / -0.000862449 | 0.000927091 / -0.000927091 | 0.000877172 / -0.000877172 | 0.000899851 / -0.000899851 | 0.000610173 / -0.000610173 | 0.000650585 / -0.000650585 | 0.000583023 / -0.000583023 | 0.000890255 / -0.000890255 | 0.000865877 / -0.000865877 | 0 / 0 | 0 / 0 | 0.00086686 / -0.00086686 | -nan / -nan |
 | Muon ID (syst.) | 0.00335008 / -0.00335008 | 0.00323945 / -0.00323945 | 0.00343624 / -0.00343624 | 0.003766 / -0.003766 | 0.00350916 / -0.00350916 | 0.00396898 / -0.00396898 | 0.00385267 / -0.00385267 | 0.00407621 / -0.00407621 | 0.00258863 / -0.00258863 | 0.00294462 / -0.00294462 | 0.0025475 / -0.0025475 | 0.00353491 / -0.00353491 | 0.0038363 / -0.0038363 | 0 / 0 | 0 / 0 | 0.00373378 / -0.00373378 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00268212 / -0.00268212 | 0.00262526 / -0.00262526 | 0.00266254 / -0.00266254 | 0.00265762 / -0.00265762 | 0.0025816 / -0.0025816 | 0.00264218 / -0.00264218 | 0.00263399 / -0.00263399 | 0.00256994 / -0.00256994 | 0.00170231 / -0.00170231 | 0.0019162 / -0.0019162 | 0.00177231 / -0.00177231 | 0.00270766 / -0.00270766 | 0.00242129 / -0.00242129 | 0 / 0 | 0 / 0 | 0.00242639 / -0.00242639 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000381351 / -0.000381351 | 0.000380576 / -0.000380576 | 0.000364751 / -0.000364751 | 0.00035435 / -0.00035435 | 0.000345647 / -0.000345647 | 0.000223905 / -0.000223905 | 0.000256419 / -0.000256419 | 0.000213712 / -0.000213712 | 0.000192165 / -0.000192165 | 0.000225872 / -0.000225872 | 0.000206947 / -0.000206947 | 0.000388324 / -0.000388324 | 0.000281543 / -0.000281543 | 0 / 0 | 0 / 0 | 0.000206292 / -0.000206292 | -nan / -nan |
 | Pile-up uncertainty | -0.00525114 / 0.00525114 | -0.00674176 / 0.00674176 | -0.00226504 / 0.00226504 | -0.00309882 / 0.00309882 | -0.0090344 / 0.0090344 | 0.0103014 / -0.0103014 | 0.0238789 / -0.0238789 | -0.00236163 / 0.00236163 | -0.0032745 / 0.0032745 | -0.0037967 / 0.0037967 | -0.00459203 / 0.00459203 | -0.00593808 / 0.00593808 | 0.000206769 / -0.000206769 | 0 / 0 | 0 / 0 | 0.0568631 / -0.0568631 | -nan / -nan |
 | btag B EV 0 | -0.044551 / 0.044551 | -0.0414016 / 0.0414016 | -0.0283733 / 0.0283733 | -0.0383953 / 0.0383953 | -0.0231743 / 0.0231743 | 0 / 0 | 0 / 0 | -0.0546744 / 0.0546744 | 0 / 0 | 0 / 0 | -0.0577544 / 0.0577544 | -0.046882 / 0.046882 | -0.0495371 / 0.0495371 | 0 / 0 | 0 / 0 | -0.0234852 / 0.0234852 | -nan / -nan |
 | btag B EV 1 | -0.014433 / 0.014433 | -0.0135796 / 0.0135796 | -0.00786316 / 0.00786316 | -0.0168005 / 0.0168005 | -0.00927955 / 0.00927955 | 0 / 0 | 0 / 0 | -0.00946411 / 0.00946411 | 0 / 0 | 0 / 0 | -0.00744015 / 0.00744015 | -0.0141695 / 0.0141695 | -0.0120304 / 0.0120304 | 0 / 0 | 0 / 0 | -0.0117715 / 0.0117715 | -nan / -nan |
 | btag B EV 2 | 0.0122815 / -0.0122815 | 0.0112067 / -0.0112067 | 0.00660914 / -0.00660914 | 0.00938553 / -0.00938553 | 0.00546592 / -0.00546592 | 0 / 0 | 0 / 0 | 0.00947893 / -0.00947893 | 0 / 0 | 0 / 0 | 0.0107427 / -0.0107427 | 0.0108094 / -0.0108094 | 0.0102267 / -0.0102267 | 0 / 0 | 0 / 0 | 0.00289491 / -0.00289491 | -nan / -nan |
 | btag B EV 3 | -0.000528336 / 0.000528336 | -0.000352472 / 0.000352472 | -0.000481337 / 0.000481337 | 0.000406027 / -0.000406027 | 0.000262022 / -0.000262022 | 0 / 0 | 0 / 0 | -0.00188065 / 0.00188065 | 0 / 0 | 0 / 0 | -0.00242165 / 0.00242165 | -0.000706673 / 0.000706673 | -0.00151423 / 0.00151423 | 0 / 0 | 0 / 0 | 0.000233859 / -0.000233859 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.00345045 / 0.00345045 | -0.0101284 / 0.0101284 | -0.0012964 / 0.0012964 | -0.00452238 / 0.00452238 | -0.00197077 / 0.00197077 | -4.70281e-05 / 4.70281e-05 | -0.183048 / 0.183048 | -0.00568467 / 0.00568467 | -0.0172442 / 0.0172442 | -0.193058 / 0.193058 | -0.00381458 / 0.00381458 | -0.0048964 / 0.0048964 | -0.00455809 / 0.00455809 | 0 / 0 | 0 / 0 | -0.00106263 / 0.00106263 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.00187165 / 0.00187165 | -0.00217894 / 0.00217894 | -0.000547975 / 0.000547975 | -0.00173581 / 0.00173581 | -0.00124514 / 0.00124514 | -0.93391 / 0.93391 | -0.190703 / 0.190703 | -0.0062378 / 0.0062378 | -0.866006 / 0.866006 | -0.15774 / 0.15774 | -0.00530475 / 0.00530475 | -0.00467175 / 0.00467175 | -0.0019837 / 0.0019837 | 0 / 0 | 0 / 0 | 0.000437737 / -0.000437737 | -nan / -nan |
