 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0282355 / -0.0282355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | -0.0381184 / 0.0381184 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0239882 / 0.0239882 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213957 / -0.0213957 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0491629 / -0.0491629 | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00836471 / -0.00836471 | 0.00516359 / -0.00516359 | 0.00332139 / -0.00332139 | 0.00368166 / -0.00368166 | 0.0035978 / -0.0035978 | 0.00389393 / -0.00389393 | 0.00336472 / -0.00336472 | 0.00610096 / -0.00610096 | 0.00520939 / -0.00520939 | 0.00328101 / -0.00328101 | 0.00814859 / -0.00814859 | 0.0022483 / -0.0022483 | 0.00704893 / -0.00704893 | 0 / 0 | 0 / 0 | 0.00352835 / -0.00352835 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000664419 / -0.000664419 | 0.000887965 / -0.000887965 | 0.00090282 / -0.00090282 | 0.000881029 / -0.000881029 | 0.000847601 / -0.000847601 | 0.000932002 / -0.000932002 | 0.00111266 / -0.00111266 | 0.000681692 / -0.000681692 | 0.000620306 / -0.000620306 | 0.00094363 / -0.00094363 | 0.00230696 / -0.00230696 | 0.000974029 / -0.000974029 | 0.000906354 / -0.000906354 | 0 / 0 | 0 / 0 | 0.000360332 / -0.000360332 | -nan / -nan |
