 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0901121 / -0.0901121 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.15761 / -0.15761 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.0312665 / -0.0312665 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00335039 / -0.00335039 | 0.00345829 / -0.00345829 | 0.00368236 / -0.00368236 | 0.0040746 / -0.0040746 | 0.00390115 / -0.00390115 | 0.00433174 / -0.00433174 | 0.00412054 / -0.00412054 | 0.00421806 / -0.00421806 | 0.00558759 / -0.00558759 | 0.0060913 / -0.0060913 | 0.0060162 / -0.0060162 | 0.00383511 / -0.00383511 | 0.00447112 / -0.00447112 | 0 / 0 | 0 / 0 | 0.00449623 / -0.00449623 | 0.00360719 / -0.00360719 |
 | Electron isol. | 0.000539126 / -0.000539126 | 0.000611552 / -0.000611552 | 0.00078501 / -0.00078501 | 0.00123906 / -0.00123906 | 0.00105633 / -0.00105633 | 0.00102114 / -0.00102114 | 0.00113937 / -0.00113937 | 0.00113299 / -0.00113299 | 0.00125692 / -0.00125692 | 0.0014812 / -0.0014812 | 0.00144873 / -0.00144873 | 0.00118806 / -0.00118806 | 0.00170364 / -0.00170364 | 0 / 0 | 0 / 0 | 0.00136646 / -0.00136646 | 0.000788696 / -0.000788696 |
 | Electron reco. | 0.000647575 / -0.000647575 | 0.000663825 / -0.000663825 | 0.000702333 / -0.000702333 | 0.000748645 / -0.000748645 | 0.000741535 / -0.000741535 | 0.000732922 / -0.000732922 | 0.000727362 / -0.000727362 | 0.000698819 / -0.000698819 | 0.000956544 / -0.000956544 | 0.00110658 / -0.00110658 | 0.00109431 / -0.00109431 | 0.00071183 / -0.00071183 | 0.000817092 / -0.000817092 | 0 / 0 | 0 / 0 | 0.00082584 / -0.00082584 | 0.000808459 / -0.000808459 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.00089402 / -0.00089402 | 0.000907491 / -0.000907491 | 0.000890472 / -0.000890472 | 0.000887197 / -0.000887197 | 0.000854271 / -0.000854271 | 0.000905914 / -0.000905914 | 0.000980729 / -0.000980729 | 0.000974104 / -0.000974104 | 0.000621242 / -0.000621242 | 0.000630386 / -0.000630386 | 0.000624412 / -0.000624412 | 0.000907359 / -0.000907359 | 0.000884414 / -0.000884414 | 0 / 0 | 0 / 0 | 0.000813227 / -0.000813227 | 0.000911722 / -0.000911722 |
 | Muon ID (syst.) | 0.00341161 / -0.00341161 | 0.00345265 / -0.00345265 | 0.00356919 / -0.00356919 | 0.00384341 / -0.00384341 | 0.00355633 / -0.00355633 | 0.00405845 / -0.00405845 | 0.00430316 / -0.00430316 | 0.00470949 / -0.00470949 | 0.00282246 / -0.00282246 | 0.0029916 / -0.0029916 | 0.00278079 / -0.00278079 | 0.00384835 / -0.00384835 | 0.0042824 / -0.0042824 | 0 / 0 | 0 / 0 | 0.00373368 / -0.00373368 | 0.00359816 / -0.00359816 |
 | Muon Trig. (stat.) | 0.00271199 / -0.00271199 | 0.00267967 / -0.00267967 | 0.00266749 / -0.00266749 | 0.00267815 / -0.00267815 | 0.00263689 / -0.00263689 | 0.00256571 / -0.00256571 | 0.00259324 / -0.00259324 | 0.00265939 / -0.00265939 | 0.00170194 / -0.00170194 | 0.00177962 / -0.00177962 | 0.00183728 / -0.00183728 | 0.00272653 / -0.00272653 | 0.00247688 / -0.00247688 | 0 / 0 | 0 / 0 | 0.00268534 / -0.00268534 | 0.00272714 / -0.00272714 |
 | Muon Trig. (syst.) | 0.00474236 / -0.00474236 | 0.0047286 / -0.0047286 | 0.00469614 / -0.00469614 | 0.00463601 / -0.00463601 | 0.00461487 / -0.00461487 | 0.00469172 / -0.00469172 | 0.00487843 / -0.00487843 | 0.00499975 / -0.00499975 | 0.00335644 / -0.00335644 | 0.00318885 / -0.00318885 | 0.00323711 / -0.00323711 | 0.00485561 / -0.00485561 | 0.00466746 / -0.00466746 | 0 / 0 | 0 / 0 | 0.00411156 / -0.00411156 | 0.00475811 / -0.00475811 |
 | Muon Isol. (stat.) | 0.000151422 / -0.000151422 | 0.000150233 / -0.000150233 | 0.000150511 / -0.000150511 | 0.000151704 / -0.000151704 | 0.000145342 / -0.000145342 | 0.000172538 / -0.000172538 | 0.000168589 / -0.000168589 | 0.000175805 / -0.000175805 | 0.000119554 / -0.000119554 | 0.000107536 / -0.000107536 | 0.000110153 / -0.000110153 | 0.000157462 / -0.000157462 | 0.000154375 / -0.000154375 | 0 / 0 | 0 / 0 | 0.00013972 / -0.00013972 | 0.000151834 / -0.000151834 |
 | Muon Isol. (syst.) | 0.0003253 / -0.0003253 | 0.000328167 / -0.000328167 | 0.000371746 / -0.000371746 | 0.000427192 / -0.000427192 | 0.000398635 / -0.000398635 | 0.000415866 / -0.000415866 | 0.000433245 / -0.000433245 | 0.00045549 / -0.00045549 | 0.000302731 / -0.000302731 | 0.000345073 / -0.000345073 | 0.00032079 / -0.00032079 | 0.000404348 / -0.000404348 | 0.000540252 / -0.000540252 | 0 / 0 | 0 / 0 | 0.000439978 / -0.000439978 | 0.000356608 / -0.000356608 |
 | Muon TTVA (stat.) | 0.000375695 / -0.000375695 | 0.000374472 / -0.000374472 | 0.000374112 / -0.000374112 | 0.00036672 / -0.00036672 | 0.000366451 / -0.000366451 | 0.000359888 / -0.000359888 | 0.000371422 / -0.000371422 | 0.000394513 / -0.000394513 | 0.000254438 / -0.000254438 | 0.000251615 / -0.000251615 | 0.000262339 / -0.000262339 | 0.000382595 / -0.000382595 | 0.000365293 / -0.000365293 | 0 / 0 | 0 / 0 | 0.000352432 / -0.000352432 | 0.000372219 / -0.000372219 |
 | Muon TTVA (syst.) | 0.000395078 / -0.000395078 | 0.000388837 / -0.000388837 | 0.000373069 / -0.000373069 | 0.000346096 / -0.000346096 | 0.000374333 / -0.000374333 | 0.000227879 / -0.000227879 | 0.000247722 / -0.000247722 | 0.000210222 / -0.000210222 | 0.000173126 / -0.000173126 | 0.000135093 / -0.000135093 | 0.000216202 / -0.000216202 | 0.000404184 / -0.000404184 | 0.000358016 / -0.000358016 | 0 / 0 | 0 / 0 | 0.000260255 / -0.000260255 | 0.000362155 / -0.000362155 |
