 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0701498 / -0.0701498 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.108906 / -0.108906 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0259673 / -0.0259673 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213954 / -0.0213954 | 0.0213956 / -0.0213956 | 0.0213957 / -0.0213957 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213955 / -0.0213955 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.0491629 / -0.0491629 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00332797 / -0.00332797 | 0.00343519 / -0.00343519 | 0.00365794 / -0.00365794 | 0.00404754 / -0.00404754 | 0.00387517 / -0.00387517 | 0.00430286 / -0.00430286 | 0.00409317 / -0.00409317 | 0.00418997 / -0.00418997 | 0.00555047 / -0.00555047 | 0.00605068 / -0.00605068 | 0.00597617 / -0.00597617 | 0.00380954 / -0.00380954 | 0.00444126 / -0.00444126 | 0 / 0 | 0 / 0 | 0.00446638 / -0.00446638 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000888139 / -0.000888139 | 0.00090152 / -0.00090152 | 0.000884593 / -0.000884593 | 0.000881255 / -0.000881255 | 0.000848532 / -0.000848532 | 0.0009 / -0.0009 | 0.000974059 / -0.000974059 | 0.000967771 / -0.000967771 | 0.000617117 / -0.000617117 | 0.000626117 / -0.000626117 | 0.000620097 / -0.000620097 | 0.000901282 / -0.000901282 | 0.000878572 / -0.000878572 | 0 / 0 | 0 / 0 | 0.000807792 / -0.000807792 | -nan / -nan |
