 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | -0.00953499 / 0.00953499 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | -0.0377526 / 0.0377526 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0221962 / 0.0221962 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0490501 / -0.0490501 | 0.0490501 / -0.0490501 | 0.04905 / -0.04905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00335386 / -0.00335386 | 0.00352887 / -0.00352887 | 0.0034338 / -0.0034338 | 0.00379619 / -0.00379619 | 0.00370324 / -0.00370324 | 0.00386067 / -0.00386067 | 0.00371879 / -0.00371879 | 0.00429145 / -0.00429145 | 0.0052275 / -0.0052275 | 0.00430752 / -0.00430752 | 0.00515883 / -0.00515883 | 0.00359561 / -0.00359561 | 0.00448785 / -0.00448785 | 0.00381139 / -0.00381139 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000888597 / -0.000888597 | 0.000848477 / -0.000848477 | 0.000891123 / -0.000891123 | 0.000882419 / -0.000882419 | 0.000874814 / -0.000874814 | 0.000934305 / -0.000934305 | 0.000862103 / -0.000862103 | 0.000862135 / -0.000862135 | 0.000612351 / -0.000612351 | 0.00080378 / -0.00080378 | 0.000802484 / -0.000802484 | 0.000909287 / -0.000909287 | 0.000856049 / -0.000856049 | 0.00107258 / -0.00107258 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (syst.) | 0.00345147 / -0.00345147 | 0.00327745 / -0.00327745 | 0.00348749 / -0.00348749 | 0.00367449 / -0.00367449 | 0.00358341 / -0.00358341 | 0.00400473 / -0.00400473 | 0.00393584 / -0.00393584 | 0.00372867 / -0.00372867 | 0.00266217 / -0.00266217 | 0.00342748 / -0.00342748 | 0.00313422 / -0.00313422 | 0.00360076 / -0.00360076 | 0.0039029 / -0.0039029 | 0.00494893 / -0.00494893 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00268476 / -0.00268476 | 0.00255995 / -0.00255995 | 0.00268525 / -0.00268525 | 0.00279402 / -0.00279402 | 0.00266499 / -0.00266499 | 0.00266486 / -0.00266486 | 0.00265743 / -0.00265743 | 0.00249303 / -0.00249303 | 0.00171428 / -0.00171428 | 0.00221402 / -0.00221402 | 0.00223352 / -0.00223352 | 0.00253928 / -0.00253928 | 0.00243682 / -0.00243682 | 0.00364708 / -0.00364708 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000378258 / -0.000378258 | 0.000386532 / -0.000386532 | 0.0003465 / -0.0003465 | 0.000377592 / -0.000377592 | 0.000370752 / -0.000370752 | 0.000231447 / -0.000231447 | 0.000191818 / -0.000191818 | 0.000258642 / -0.000258642 | 0.000172008 / -0.000172008 | 0.000271828 / -0.000271828 | 0.000335386 / -0.000335386 | 0.000426784 / -0.000426784 | 0.000314252 / -0.000314252 | 0.000411936 / -0.000411936 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | -0.00191208 / 0.00191208 | -0.0106135 / 0.0106135 | -0.00300411 / 0.00300411 | 0.00816118 / -0.00816118 | -0.0104493 / 0.0104493 | 0.00780901 / -0.00780901 | 0.0518987 / -0.0518987 | 0.00698108 / -0.00698108 | 0.0139167 / -0.0139167 | -0.00797556 / 0.00797556 | -0.0113033 / 0.0113033 | 0.00191952 / -0.00191952 | -0.0214293 / 0.0214293 | 0.0679515 / -0.0679515 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0459381 / 0.0459381 | -0.04475 / 0.04475 | -0.0680826 / 0.0680826 | -0.0533114 / 0.0533114 | -0.0547598 / 0.0547598 | 0 / 0 | 0 / 0 | -0.0800521 / 0.0800521 | 0 / 0 | 0 / 0 | -0.0789149 / 0.0789149 | -0.0577112 / 0.0577112 | -0.071601 / 0.071601 | -0.0565586 / 0.0565586 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0161319 / 0.0161319 | -0.0167239 / 0.0167239 | -0.0228453 / 0.0228453 | -0.0253136 / 0.0253136 | -0.024905 / 0.024905 | 0 / 0 | 0 / 0 | -0.0131767 / 0.0131767 | 0 / 0 | 0 / 0 | -0.0119351 / 0.0119351 | -0.0182318 / 0.0182318 | -0.0146824 / 0.0146824 | -0.0290651 / 0.0290651 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0128982 / -0.0128982 | 0.0122976 / -0.0122976 | 0.0163138 / -0.0163138 | 0.0127471 / -0.0127471 | 0.0139315 / -0.0139315 | 0 / 0 | 0 / 0 | 0.0132464 / -0.0132464 | 0 / 0 | 0 / 0 | 0.0134028 / -0.0134028 | 0.0132178 / -0.0132178 | 0.0137664 / -0.0137664 | 0.00991252 / -0.00991252 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | -9.24556e-05 / 9.24556e-05 | 0.000262457 / -0.000262457 | -0.000347494 / 0.000347494 | 0.000921619 / -0.000921619 | 0.0011206 / -0.0011206 | 0 / 0 | 0 / 0 | -0.00249565 / 0.00249565 | 0 / 0 | 0 / 0 | -0.00234815 / 0.00234815 | -0.000659436 / 0.000659436 | -0.00235756 / 0.00235756 | -0.00137125 / 0.00137125 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
