 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0383803 / -0.0383803 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0460179 / -0.0460179 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0106172 / 0.0106172 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0.0212813 / -0.0212813 | 0.0212815 / -0.0212815 | 0.0212814 / -0.0212814 | 0.0212815 / -0.0212815 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0490501 / -0.0490501 | 0.04905 / -0.04905 | 0.0490501 / -0.0490501 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00329924 / -0.00329924 | 0.00343791 / -0.00343791 | 0.00355056 / -0.00355056 | 0.00390968 / -0.00390968 | 0.00388727 / -0.00388727 | 0.00376245 / -0.00376245 | 0.00381115 / -0.00381115 | 0.00409338 / -0.00409338 | 0.0052906 / -0.0052906 | 0.00496453 / -0.00496453 | 0.00516719 / -0.00516719 | 0.00350231 / -0.00350231 | 0.00436229 / -0.00436229 | 0.00507066 / -0.00507066 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000882924 / -0.000882924 | 0.000858992 / -0.000858992 | 0.000880778 / -0.000880778 | 0.000872344 / -0.000872344 | 0.000862449 / -0.000862449 | 0.000927091 / -0.000927091 | 0.000877172 / -0.000877172 | 0.000899851 / -0.000899851 | 0.000610173 / -0.000610173 | 0.000650585 / -0.000650585 | 0.000583023 / -0.000583023 | 0.000890255 / -0.000890255 | 0.000865877 / -0.000865877 | 0.00086686 / -0.00086686 | 0 / 0 | 0 / 0 | -nan / -nan |
