 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0282517 / -0.0282517 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | -0.0383042 / 0.0383042 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0237111 / 0.0237111 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.04905 / -0.04905 | 0.0490501 / -0.0490501 | 0.04905 / -0.04905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00836582 / -0.00836582 | 0.00516389 / -0.00516389 | 0.00332115 / -0.00332115 | 0.00368173 / -0.00368173 | 0.00359784 / -0.00359784 | 0.00389426 / -0.00389426 | 0.00336454 / -0.00336454 | 0.00610002 / -0.00610002 | 0.00520925 / -0.00520925 | 0.00328123 / -0.00328123 | 0.00814791 / -0.00814791 | 0.00224705 / -0.00224705 | 0.00704928 / -0.00704928 | 0.00352841 / -0.00352841 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000663906 / -0.000663906 | 0.000887962 / -0.000887962 | 0.00090288 / -0.00090288 | 0.000881012 / -0.000881012 | 0.000847601 / -0.000847601 | 0.000932003 / -0.000932003 | 0.00111274 / -0.00111274 | 0.000681821 / -0.000681821 | 0.000620685 / -0.000620685 | 0.000943476 / -0.000943476 | 0.00230721 / -0.00230721 | 0.000974052 / -0.000974052 | 0.000906367 / -0.000906367 | 0.000360331 / -0.000360331 | 0 / 0 | 0 / 0 | -nan / -nan |
