 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0702075 / -0.0702075 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.10946 / -0.10946 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0256708 / -0.0256708 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212815 / -0.0212815 | 0.0212813 / -0.0212813 | 0.0212812 / -0.0212812 | 0.0212812 / -0.0212812 | 0.0212812 / -0.0212812 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0490501 / -0.0490501 | 0.04905 / -0.04905 | 0.04905 / -0.04905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.003328 / -0.003328 | 0.00343522 / -0.00343522 | 0.00365794 / -0.00365794 | 0.00404754 / -0.00404754 | 0.0038752 / -0.0038752 | 0.00430286 / -0.00430286 | 0.00409317 / -0.00409317 | 0.00419003 / -0.00419003 | 0.00555056 / -0.00555056 | 0.00605071 / -0.00605071 | 0.00597617 / -0.00597617 | 0.0038096 / -0.0038096 | 0.00444126 / -0.00444126 | 0.00446638 / -0.00446638 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000888139 / -0.000888139 | 0.00090152 / -0.00090152 | 0.000884593 / -0.000884593 | 0.000881255 / -0.000881255 | 0.000848532 / -0.000848532 | 0.0009 / -0.0009 | 0.000974059 / -0.000974059 | 0.000967771 / -0.000967771 | 0.000617117 / -0.000617117 | 0.000626117 / -0.000626117 | 0.000620097 / -0.000620097 | 0.000901282 / -0.000901282 | 0.000878572 / -0.000878572 | 0.000807792 / -0.000807792 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (syst.) | 0.00338894 / -0.00338894 | 0.00342971 / -0.00342971 | 0.00354546 / -0.00354546 | 0.0038178 / -0.0038178 | 0.00353268 / -0.00353268 | 0.00403154 / -0.00403154 | 0.00427458 / -0.00427458 | 0.00467819 / -0.00467819 | 0.00280362 / -0.00280362 | 0.00297168 / -0.00297168 | 0.00276229 / -0.00276229 | 0.00382271 / -0.00382271 | 0.00425389 / -0.00425389 | 0.00370875 / -0.00370875 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00269383 / -0.00269383 | 0.00266194 / -0.00266194 | 0.00264972 / -0.00264972 | 0.00266036 / -0.00266036 | 0.00261936 / -0.00261936 | 0.00254864 / -0.00254864 | 0.00257602 / -0.00257602 | 0.0026418 / -0.0026418 | 0.0016906 / -0.0016906 | 0.00176793 / -0.00176793 | 0.00182506 / -0.00182506 | 0.00270841 / -0.00270841 | 0.00246045 / -0.00246045 | 0.00266752 / -0.00266752 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000392556 / -0.000392556 | 0.000386208 / -0.000386208 | 0.000370652 / -0.000370652 | 0.00034377 / -0.00034377 | 0.000371814 / -0.000371814 | 0.000226378 / -0.000226378 | 0.000246018 / -0.000246018 | 0.000208855 / -0.000208855 | 0.000172138 / -0.000172138 | 0.00013417 / -0.00013417 | 0.000214756 / -0.000214756 | 0.000401497 / -0.000401497 | 0.000355601 / -0.000355601 | 0.000258446 / -0.000258446 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | -0.000685483 / 0.000685483 | -0.00237015 / 0.00237015 | 0.00043717 / -0.00043717 | -0.00650629 / 0.00650629 | 0.00122154 / -0.00122154 | 0.017948 / -0.017948 | 0.0418921 / -0.0418921 | 0.0133102 / -0.0133102 | 0.0277219 / -0.0277219 | 0.00855863 / -0.00855863 | 0.00995946 / -0.00995946 | 0.00304532 / -0.00304532 | 0.0136174 / -0.0136174 | -0.0145817 / 0.0145817 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0458756 / 0.0458756 | -0.0412376 / 0.0412376 | -0.0226686 / 0.0226686 | -0.0369807 / 0.0369807 | -0.0166097 / 0.0166097 | 0 / 0 | 0 / 0 | -0.053162 / 0.053162 | 0 / 0 | 0 / 0 | -0.0490308 / 0.0490308 | -0.0456468 / 0.0456468 | -0.0476545 / 0.0476545 | -0.01913 / 0.01913 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0139265 / 0.0139265 | -0.0131665 / 0.0131665 | -0.00590432 / 0.00590432 | -0.0156854 / 0.0156854 | -0.00648275 / 0.00648275 | 0 / 0 | 0 / 0 | -0.0113165 / 0.0113165 | 0 / 0 | 0 / 0 | -0.0112457 / 0.0112457 | -0.0156093 / 0.0156093 | -0.0145078 / 0.0145078 | -0.0101573 / 0.0101573 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0117868 / -0.0117868 | 0.0107135 / -0.0107135 | 0.00496098 / -0.00496098 | 0.00838977 / -0.00838977 | 0.00339949 / -0.00339949 | 0 / 0 | 0 / 0 | 0.00943482 / -0.00943482 | 0 / 0 | 0 / 0 | 0.0104198 / -0.0104198 | 0.00970986 / -0.00970986 | 0.00868687 / -0.00868687 | 0.00414675 / -0.00414675 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | -0.000632077 / 0.000632077 | -0.000478178 / 0.000478178 | -0.000523895 / 0.000523895 | 0.000331551 / -0.000331551 | 0.000117183 / -0.000117183 | 0 / 0 | 0 / 0 | -0.00103059 / 0.00103059 | 0 / 0 | 0 / 0 | -0.00128341 / 0.00128341 | -0.000449687 / 0.000449687 | -0.000709563 / 0.000709563 | 0.00069955 / -0.00069955 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
